Date de la valeur (local),Montant total (TTC),Débit,Crédit,Solde,Devise,Montant total (TTC) (local),Devise (local),Montant total de la TVA,Montant total (HT),Nom de la contrepartie,IBAN de la contrepartie,Méthode de paiement,Nom de la carte,Initiateur,Adresse email de l'initiateur,Équipe,Justificatif,Référence,Note,Catégorie de trésorerie,Sous-catégorie de trésorerie
2026-02-12,-4000,-4000,0,53000,EUR,-4000,EUR,-666,-3334,SPS Securite Privée,FR7633333344444455555566666,Virement,,Maxime,maxime@technoparis.com,Logistique,Oui,INV-SPS-112,Agents securité et maître-chien - Soirée Berlin Ritual #1,Logistique,Securité
2026-02-15,19500,0,19500,72500,EUR,19500,EUR,1950,17550,Shotgun Ticketing,FR7654321098765432109876543,Virement,,Maxime,maxime@technoparis.com,Billetterie,Non,REV-SG-102,Ventes Billetterie - Soirée Berlin Ritual #1,Revenu,Billetterie
2026-02-16,6200,0,6200,78700,EUR,6200,EUR,1240,4960,SumUp Bar Terminal,FR7611111122222233333344444,Virement,,Maxime,maxime@technoparis.com,Bar,Non,REV-SU-12,Ventes boissons bar - Soirée Berlin Ritual #1,Revenu,Bar
2026-02-18,-3500,-3500,0,75200,EUR,-3500,EUR,-700,-2800,Rave Sound System Corp,FR7688888899999900000011111,Virement,,Maxime,maxime@technoparis.com,Technique,Oui,INV-RSS-022,Location système son L-Acoustics + lights,Technique,Technique
2026-02-20,-3000,-3000,0,72200,EUR,-3000,EUR,-600,-2400,Meta Ads Business,FR7644444455555566666677777,Carte,Carte Bleue,Maxime,maxime@technoparis.com,Com,Oui,COM-FB-44,Campagnes pub FB / Insta / Resident Advisor,Marketing,Coprod
2026-03-05,-18000,-18000,0,54200,EUR,-18000,EUR,-3600,-14400,Cabaret Sauvage,FR7612345678901234567890123,Virement,,Maxime,maxime@technoparis.com,Production,Oui,INV-2026-012,Location de salle - Soirée Dyketopia #2,Logistique,Location Salle
2026-03-10,-9000,-9000,0,45200,EUR,-9000,EUR,0,-9000,Ellen Allien Booking,,Virement,,Maxime,maxime@technoparis.com,Artistes,Oui,INV-EA-59,Booking Ellen Allien - Soirée Dyketopia #2,Artistique,DJ
2026-03-14,-3500,-3500,0,41700,EUR,-3500,EUR,-700,-2800,L-Acoustics Paris Rental,FR7698765432109876543210987,Virement,,Maxime,maxime@technoparis.com,Technique,Oui,INV-SR-210,Sono et lights additionnels - Soirée Dyketopia #2,Technique,Technique
2026-03-18,14500,0,14500,56200,EUR,14500,EUR,1450,13050,Shotgun Ticketing,FR7654321098765432109876543,Virement,,Maxime,maxime@technoparis.com,Billetterie,Non,REV-SG-204,Ventes Billetterie - Soirée Dyketopia #2,Revenu,Billetterie
2026-03-19,3900,0,3900,60100,EUR,3900,EUR,780,3120,SumUp Bar Terminal,FR7611111122222233333344444,Virement,,Maxime,maxime@technoparis.com,Bar,Non,REV-SU-14,Recettes bar soft & hard - Soirée Dyketopia #2,Revenu,Bar
2026-03-20,-4500,-4500,0,55600,EUR,-4500,EUR,-900,-3600,SPS Securite Privée,FR7633333344444455555566666,Virement,,Maxime,maxime@technoparis.com,Logistique,Oui,INV-SPS-222,Agents et barriérage - Soirée Dyketopia #2,Logistique,Securité
2026-03-22,-3000,-3000,0,52600,EUR,-3000,EUR,-600,-2400,Meta Ads Business,FR7644444455555566666677777,Carte,Carte Bleue,Maxime,maxime@technoparis.com,Com,Oui,COM-FB-61,Meta Ads & RA - Soirée Dyketopia #2,Marketing,Coprod
2026-04-02,-16000,-16000,0,36600,EUR,-16000,EUR,-3200,-12800,Le Dock de St Denis,FR7666666677777788888899999,Virement,,Maxime,maxime@technoparis.com,Production,Oui,INV-DK-89,Location entrepôt brut - Soirée Warehouse Ritual,Logistique,Location Salle
2026-04-06,-12000,-12000,0,24600,EUR,-12000,EUR,0,-12000,Shlomo Booking,,Virement,,Maxime,maxime@technoparis.com,Artistes,Oui,INV-SHL-55,Booking Shlomo - Soirée Warehouse Ritual,Artistique,DJ
2026-04-08,-5000,-5000,0,19600,EUR,-5000,EUR,-1000,-4000,Rave Sound System Corp,FR7688888899999900000011111,Virement,,Maxime,maxime@technoparis.com,Technique,Oui,INV-RSS-056,Gros système son + structures scènes + lumière,Technique,Technique
2026-04-12,-6000,-6000,0,13600,EUR,-6000,EUR,-1200,-4800,SPS Securite Privée,FR7633333344444455555566666,Virement,,Maxime,maxime@technoparis.com,Logistique,Oui,INV-SPS-299,Securité renforcée 18 agents - Soirée Warehouse Ritual,Logistique,Securité
2026-04-18,18500,0,18500,32100,EUR,18500,EUR,1850,16650,Shotgun Ticketing,FR7654321098765432109876543,Virement,,Maxime,maxime@technoparis.com,Billetterie,Non,REV-SG-312,Ventes Billetterie - Soirée Warehouse Ritual,Revenu,Billetterie
2026-04-19,5100,0,5100,37200,EUR,5100,EUR,1020,4080,SumUp Bar Terminal,FR7611111122222233333344444,Virement,,Maxime,maxime@technoparis.com,Bar,Non,REV-SU-18,Boissons & Gobelets recyclables - Soirée Warehouse Ritual,Revenu,Bar
2026-04-20,-4000,-4000,0,33200,EUR,-4000,EUR,-800,-3200,Meta Ads Business,FR7644444455555566666677777,Carte,Carte Bleue,Maxime,maxime@technoparis.com,Com,Oui,COM-FB-88,Sponsoring événement Facebook, Instagram, Google,Marketing,Coprod
2026-04-22,-2200,-2200,0,31000,EUR,-2200,EUR,-110,-2090,SACEM Production,FR7655555544444433333322222,Virement,,Maxime,maxime@technoparis.com,Gestion,Oui,INV-SAC-22,Droits d'auteur SACEM - Soirée Warehouse Ritual,Gestion,Dyketopia
2026-05-02,-17000,-17000,0,14000,EUR,-17000,EUR,-3400,-13600,Cabaret Sauvage,FR7612345678901234567890123,Virement,,Maxime,maxime@technoparis.com,Production,Oui,INV-2026-039,Location salle - Soirée Berlin Ritual #2,Logistique,Location Salle
2026-05-05,-15000,-15000,0,-1000,EUR,-15000,EUR,0,-15000,Kobosil Booking Agent,,Virement,,Maxime,maxime@technoparis.com,Artistes,Oui,INV-KB-112,Booking Kobosil - Soirée Berlin Ritual #2,Artistique,DJ
2026-05-15,16000,0,16000,15000,EUR,16000,EUR,1600,14400,Shotgun Ticketing,FR7654321098765432109876543,Virement,,Maxime,maxime@technoparis.com,Billetterie,Non,REV-SG-411,Ventes Billetterie - Soirée Berlin Ritual #2,Revenu,Billetterie
2026-05-16,4800,0,4800,19800,EUR,4800,EUR,960,3840,SumUp Bar Terminal,FR7611111122222233333344444,Virement,,Maxime,maxime@technoparis.com,Bar,Non,REV-SU-22,Recettes bar boissons - Soirée Berlin Ritual #2,Revenu,Bar
2026-05-18,-4500,-4500,0,15300,EUR,-4500,EUR,-900,-3600,SPS Securite Privée,FR7633333344444455555566666,Virement,,Maxime,maxime@technoparis.com,Logistique,Oui,INV-SPS-401,Securité Cabaret Sauvage - Soirée Berlin Ritual #2,Logistique,Securité
2026-05-20,-3000,-3000,0,12300,EUR,-3000,EUR,-600,-2400,Meta Ads Business,FR7644444455555566666677777,Carte,Carte Bleue,Maxime,maxime@technoparis.com,Com,Oui,COM-FB-99,Marketing digital - Soirée Berlin Ritual #2,Marketing,Coprod
2026-05-25,-1800,-1800,0,10500,EUR,-1800,EUR,-90,-1710,SACEM Production,FR7655555544444433333322222,Virement,,Maxime,maxime@technoparis.com,Gestion,Oui,INV-SAC-24,Droits d'auteur SACEM - Soirée Berlin Ritual #2,Gestion,Dyketopia
